order_id,order_placed_at,order_delivered_at
1523111,01-03-2023 0.00,2023-03-01 00:18:07.443132
1523112,01-03-2023 0.03,2023-03-01 00:19:34.925241
1523113,01-03-2023 0.07,2023-03-01 00:22:28.291385
1523114,01-03-2023 0.07,2023-03-01 00:46:19.019399
1523115,01-03-2023 0.09,2023-03-01 00:25:13.619056
1523116,01-03-2023 0.09,2023-03-01 00:25:17.088349
1523117,01-03-2023 0.11,2023-03-01 00:41:54.245295
1523118,01-03-2023 0.13,2023-03-01 00:30:38.556491
1523119,01-03-2023 0.15,2023-03-01 00:30:28.234367
1523120,01-03-2023 0.15,2023-03-01 00:31:53.026195
1523121,01-03-2023 0.21,2023-03-01 00:36:48.814636
1523122,01-03-2023 0.22,2023-03-01 00:37:33.109414
1523123,01-03-2023 0.25,2023-03-01 00:41:35.374214
1523124,01-03-2023 0.29,2023-03-01 00:44:16.526633
1523125,01-03-2023 0.30,2023-03-01 00:46:41.759340
1523126,01-03-2023 0.37,2023-03-01 00:52:57.822137
1523127,01-03-2023 0.37,2023-03-01 01:01:14.587491
1523128,01-03-2023 0.41,2023-03-01 00:56:32.074381
1523129,01-03-2023 0.43,2023-03-01 01:03:52.000746
1523130,01-03-2023 0.51,2023-03-01 01:08:04.680446
1523131,01-03-2023 0.54,2023-03-01 01:10:11.629524
1523132,01-03-2023 1.03,2023-03-01 01:18:47.056011
1523133,01-03-2023 1.07,2023-03-01 01:27:43.791029
1523134,01-03-2023 1.09,2023-03-01 01:25:23.750560
1523135,01-03-2023 1.11,2023-03-01 05:07:54.563978
1523136,01-03-2023 1.14,2023-03-01 01:29:16.596709
1523137,01-03-2023 1.15,2023-03-01 01:31:00.943355
1523138,01-03-2023 1.16,2023-03-01 01:31:34.711870
1523139,01-03-2023 1.16,2023-03-01 01:32:10.377301
1523140,01-03-2023 1.17,2023-03-01 01:32:50.048967
1523141,01-03-2023 1.17,2023-03-01 01:33:02.603454
1523142,01-03-2023 1.18,2023-03-01 01:34:00.307219
1523143,01-03-2023 1.19,2023-03-01 01:35:42.222578
1523144,01-03-2023 1.29,2023-03-01 01:45:09.640916
1523145,01-03-2023 1.32,2023-03-01 01:47:29.129556
1523146,01-03-2023 1.33,2023-03-01 01:48:35.858652
1523147,01-03-2023 1.34,2023-03-01 01:51:05.798284
1523148,01-03-2023 1.35,2023-03-01 01:55:46.343422
1523149,01-03-2023 1.36,2023-03-01 01:52:05.671788
1523150,01-03-2023 1.39,2023-03-01 01:55:19.868467
1523151,01-03-2023 1.40,2023-03-01 01:55:52.426244
1523152,01-03-2023 1.43,2023-03-01 01:58:39.281447
1523153,01-03-2023 1.46,2023-03-01 02:02:35.179119
1523154,01-03-2023 1.47,2023-03-01 02:08:47.217009
1523155,01-03-2023 1.51,2023-03-01 02:07:15.326310
1523156,01-03-2023 1.56,2023-03-01 02:14:11.894440
1523157,01-03-2023 1.57,2023-03-01 02:18:09.110939
1523158,01-03-2023 1.57,2023-03-01 02:30:19.851911
1523159,01-03-2023 1.59,2023-03-01 02:14:15.722263
1523160,01-03-2023 2.00,2023-03-01 02:16:11.110822
1523161,01-03-2023 2.02,2023-03-01 02:17:50.200447
1523162,01-03-2023 2.05,2023-03-01 02:22:45.957734
1523163,01-03-2023 2.05,2023-03-01 02:24:39.257216
1523164,01-03-2023 2.05,2023-03-01 02:21:00.926581
1523165,01-03-2023 2.06,2023-03-01 02:22:00.390249
1523166,01-03-2023 2.08,2023-03-01 02:26:30.483289
1523167,01-03-2023 2.14,2023-03-01 02:29:52.202549
1523168,01-03-2023 2.16,2023-03-01 02:33:34.014499
1523169,01-03-2023 2.19,2023-03-01 02:39:58.906260
1523170,01-03-2023 2.23,2023-03-01 02:39:32.051051
1523171,01-03-2023 2.23,2023-03-01 02:38:52.565486
1523172,01-03-2023 2.23,2023-03-01 02:42:30.539604
1523173,01-03-2023 2.24,2023-03-01 02:49:45.700703
1523174,01-03-2023 2.30,2023-03-01 02:45:25.754060
1523175,01-03-2023 2.31,2023-03-01 02:55:45.867570
1523176,01-03-2023 2.32,2023-03-01 02:47:47.536266
1523177,01-03-2023 2.35,2023-03-01 02:50:47.378590
1523178,01-03-2023 2.35,2023-03-01 02:52:11.225086
1523179,01-03-2023 2.36,2023-03-01 02:52:06.434555
1523180,01-03-2023 2.42,2023-03-01 02:57:15.447494
1523181,01-03-2023 2.43,2023-03-01 02:59:14.682570
1523182,01-03-2023 2.45,2023-03-01 03:02:00.138822
1523183,01-03-2023 2.52,2023-03-01 03:11:56.767246
1523184,01-03-2023 2.57,2023-03-01 03:14:17.747953
1523185,01-03-2023 2.58,2023-03-01 03:14:38.102301
1523186,01-03-2023 3.02,2023-03-01 03:24:36.797827
